TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
f_f000489,2306060009,1,0,,드라이마티니;캄파리;롱아일랜드아이스티;스크류드라이버,N,1,
f_f000489,2306070004,1,0,,잔치국수,N,1,
f_f000489,2306070005,1,0,,아이스아메리카노,N,1,
f_f000489,2306060007,2,0,,염주팔찌,N,1,
f_f000489,2306070002,3,0,,서핑강습,Y,1,1
f_f000489,2306070002,3,1,,슈트렌탈,Y,1,1
f_f000489,2306060006,4,1,,,,,
f_f000489,2306060007,4,1,,,,,
f_f000489,2306060010,5,0,,,,,
f_f000489,2306060009,5,1,,,,,
f_f000489,2306070005,5,1,,,,,
f_f000489,2306060007,5,2,,,,,
f_f000489,2306060004,6,0,,체크인,Y,5,
f_f000489,2306070003,6,0,,병원진료,N,1,
f_f000489,2306060003,7,0,,,,,
f_f000489,2306070006,7,0,,,,,
f_f000489,2306060002,7,2,,,,,
f_f000492,2305150002,1,0,,피자,N,1,
f_f000492,2305150004,1,0,,소떡소떡;소세지,Y,1,
f_f000492,2305150005,1,0,,탕수육;짬뽕;볶음밥,N,1,
f_f000492,2305160003,1,0,,소고기,N,1,
f_f000492,2305170002,1,0,,햄버거;감자튀김;음료,N,1,
f_f000492,2305170004,1,0,,나물밥정식,N,1,
f_f000492,2305180001,1,0,,치킨,N,1,
f_f000492,2305160002,1,1,,돈가스함박콤보;주스,Y,1,
f_f000492,2305170003,1,1,,아이스크림,N,1,
f_f000492,2305180001,1,3,,아이스크림,N,1,
f_f000492,2305150004,2,1,,과자;음료수,N,1,
f_f000492,2305160001,2,1,,간식,N,1,
f_f000492,2305180001,2,1,,장난감칼,N,1,
f_f000492,2305170002,2,2,,커피;과자;음료수,N,1,
f_f000492,2305150002,2,5,,간식;맥주,N,1,
